raw_product,dc,on_hand_units,demand_forecast,safety_stock,sku,utilization,velocity,inv_cluster,region,in_transit_units,safety_stock_level,max_stock_level,days_of_supply,carrying_cost_per_unit,last_replenishment_date
Storm-FIT Jacket,EMEA DC - 02,47123.358868188385,51835.69475500723,7068.503830228257,NK-AP-SFJ-1647,88.50832281841875,4.31667647195918,2,EMEA,18134.85121234129,7068.503830228257,117808.39717047097,20,1.8061590445069342,2026-03-10
Metcon 9 Amp,EMEA DC - 01,21524.55463660271,23677.01010026298,3228.683195490406,NK-MT-9-9002,83.8437527383868,2.7592291752060962,3,EMEA,2693.651293759188,3228.683195490406,53811.38659150677,34,2.55613025195907,2026-03-12
Dri-FIT Running Shirt M,North America DC - 01,49069.4058837378,53976.34647211159,7360.41088256067,NK-RA-RM-6420,70.10328724613399,3.920795433058219,2,North America,6989.6333751292805,7360.41088256067,122673.51470934451,41,2.282209496573614,2026-03-17
Metcon 9 Amp,EMEA DC - 03,4711.483391163861,5182.631730280247,706.7225086745791,NK-MT-9-4526,62.67051449190517,2.242491436308916,1,EMEA,1588.016976754007,706.7225086745791,11778.708477909651,10,2.001303143005489,2026-03-17
Jordan Stay Loyal 3,EMEA DC - 03,3798.9153849026543,4178.80692339292,569.8373077353981,NK-JD-SL3-8056,79.3354926837936,0.9748814247051654,2,EMEA,1049.2947233715736,569.8373077353981,9497.288462256636,35,1.5434806981314266,2026-03-11
Vaporfly 3,Greater China DC - 01,41611.9092142463,45773.10013567093,6241.786382136945,NK-VF-3-8008,85.51275425135407,2.057586694304302,3,Greater China,8665.311767225214,6241.786382136945,104029.77303561574,19,3.9700071533853682,2026-03-17
Air Zoom Pegasus 40,EMEA DC - 01,43021.46495370883,47323.61144907972,6453.219743056325,NK-ZP-40-7360,89.98859215978113,4.490174465529548,1,EMEA,10794.020976240583,6453.219743056325,107553.66238427209,24,4.024399534577443,2026-03-10
Air Max 270,North America DC - 03,40030.84324775155,44033.927572526714,6004.626487162733,NK-AM-270-6006,77.45223442435588,2.945413732885719,1,North America,9284.536575054555,6004.626487162733,100077.10811937889,47,1.9159475247634394,2026-03-14
Air Zoom Pegasus 40,EMEA DC - 03,24482.84821140617,26931.13303254679,3672.4272317109253,NK-ZP-40-8190,69.79429172531165,3.5635085164454923,2,EMEA,3606.3360523237056,3672.4272317109253,61207.12052851543,37,3.4987241763529426,2026-03-15
SB Dunk Low Pro,EMEA DC - 02,26539.470414119725,29193.4174555317,3980.9205621179585,NK-SB-DLP-2909,81.45461646635448,3.3119595310935654,1,EMEA,4454.733868127035,3980.9205621179585,66348.67603529932,18,4.203421297812451,2026-03-15
Yoga Luxe Leggings,Greater China DC - 01,43372.12056041961,47709.33261646157,6505.818084062941,NK-AP-YLL-2377,64.1829947955695,1.7086801439196897,1,Greater China,12886.05478647586,6505.818084062941,108430.30140104902,50,3.4298365134897786,2026-03-17
Element Crew Top,EMEA DC - 01,48107.33967268219,52918.07363995041,7216.100950902328,NK-AP-ECT-8513,75.31194309101669,4.664906979154292,2,EMEA,6481.373425883604,7216.100950902328,120268.34918170547,13,3.9927071127923863,2026-03-12
Dri-FIT Running Shirt W,APLA DC - 01,44606.53644146203,49067.190085608236,6690.980466219304,NK-RA-RW-6907,64.24553962849869,1.3483418023070877,3,APLA,7567.690690408959,6690.980466219304,111516.34110365507,26,2.128111411813029,2026-03-14
Vaporfly 3,Greater China DC - 02,26153.232950644913,28768.556245709406,3922.984942596737,NK-VF-3-5838,62.370743534751035,2.2361137434726555,1,Greater China,8993.987751058141,3922.984942596737,65383.082376612285,54,4.040302072787287,2026-03-11
ACG Mountain Fly,EMEA DC - 02,2511.5565362512966,2762.7121898764267,376.7334804376945,NK-AP-ACG-4735,61.24536365134426,3.5974963922980847,1,EMEA,420.8629877289519,376.7334804376945,6278.891340628242,18,1.716201527810042,2026-03-14
Jordan Stay Loyal 3,Greater China DC - 01,45968.29000948637,50565.11901043502,6895.243501422956,NK-JD-SL3-4284,69.2143410101337,2.074361305130397,1,Greater China,5707.9660631339075,6895.243501422956,114920.72502371593,48,3.3970539290656956,2026-03-17
Tech Fleece Joggers M,North America DC - 03,3263.1990895830445,3589.5189985413494,489.47986343745663,NK-AP-TJ-5044,88.86947468285958,4.002705409364914,2,North America,984.0672661375171,489.47986343745663,8157.997723957611,52,3.7519605211102114,2026-03-13
Pro Dri-FIT Tight,APLA DC - 02,14034.28331279912,15437.711644079032,2105.142496919868,NK-AP-PDF-2118,66.09809948569675,0.7020153695588416,2,APLA,2594.980379354272,2105.142496919868,35085.7082819978,23,2.469118403121131,2026-03-18
KD16,APLA DC - 01,26665.172505916144,29331.68975650776,3999.7758758874215,NK-BK-KD16-2085,84.87251915089823,0.5246808185791803,3,APLA,10107.250517761973,3999.7758758874215,66662.93126479036,34,3.844454345563477,2026-03-11
LeBron XXI,North America DC - 03,15276.91311717714,16804.604428894854,2291.536967576571,NK-BK-L21-4311,69.63977408355652,2.390632686755743,3,North America,3516.7754689368317,2291.536967576571,38192.28279294285,57,2.133554142295806,2026-03-15
Yoga Luxe Leggings,EMEA DC - 03,41448.91246596231,45593.80371255855,6217.336869894347,NK-AP-YLL-1654,83.00781702989487,4.859853024136113,1,EMEA,9564.73294812926,6217.336869894347,103622.28116490578,34,3.7161105450518734,2026-03-10
Yoga Luxe Leggings,APLA DC - 01,18114.453038583706,19925.898342442077,2717.167955787556,NK-AP-YLL-8331,68.53095763755628,4.9119165126105635,1,APLA,4728.876585709863,2717.167955787556,45286.13259645927,52,2.3151822480387123,2026-03-17
Yoga Luxe Leggings,APLA DC - 01,7938.069673522063,8731.87664087427,1190.7104510283093,NK-AP-YLL-9276,64.58219731051138,0.6529288463515175,1,APLA,1849.8323020089274,1190.7104510283093,19845.174183805157,14,1.6682887848260255,2026-03-14
Court Vision Low,EMEA DC - 03,17873.464148133233,19660.810562946557,2681.0196222199847,NK-CV-L-8849,81.76328569203105,2.467411347917988,2,EMEA,4992.244412093438,2681.0196222199847,44683.660370333084,20,4.407417318913028,2026-03-14
Blazer Mid '77,APLA DC - 02,36187.0880430666,39805.79684737326,5428.0632064599895,NK-BZ-77-6631,67.10511211001096,0.5584442088150117,1,APLA,14459.257697098565,5428.0632064599895,90467.72010766651,33,3.1231525239618394,2026-03-11
Tech Fleece Joggers M,APLA DC - 02,43386.88252063432,47725.570772697756,6508.032378095148,NK-AP-TJ-3975,85.97384071664605,4.888596014659302,1,APLA,13107.837691993174,6508.032378095148,108467.2063015858,45,2.9259258780110287,2026-03-10
Court Vision Low,EMEA DC - 01,34503.264182025945,37953.59060022854,5175.489627303891,NK-CV-L-3896,82.39585890433585,3.8416433063438724,2,EMEA,8901.616517657405,5175.489627303891,86258.16045506486,39,2.230263608164443,2026-03-19
Jordan Stay Loyal 3,APLA DC - 01,4987.525822848822,5486.278405133705,748.1288734273232,NK-JD-SL3-8710,75.30381484617394,1.3860973136099233,2,APLA,805.106402577548,748.1288734273232,12468.814557122056,22,3.4391947405380483,2026-03-13
Pro Dri-FIT Tight,North America DC - 01,49672.29031055874,54639.51934161462,7450.84354658381,NK-AP-PDF-1131,81.01710878267926,2.5058895138717414,1,North America,8101.150905909737,7450.84354658381,124180.72577639685,53,1.9467964323248461,2026-03-10
SB Dunk Low Pro,North America DC - 02,46895.92596969156,51585.51856666072,7034.388895453734,NK-SB-DLP-6340,73.5442834978362,2.2744427600137254,3,North America,16959.710352330458,7034.388895453734,117239.81492422891,57,3.0903980870969345,2026-03-15
Sportswear Icon Clash,North America DC - 01,45887.09586396209,50475.8054503583,6883.064379594313,NK-AP-IC-8442,77.23864794688245,2.2621827706165645,2,North America,8050.526215234536,6883.064379594313,114717.73965990522,21,1.5470426855700068,2026-03-12
KD16,APLA DC - 01,42005.67503355114,46206.242536906255,6300.85125503267,NK-BK-KD16-6592,73.3122242998912,4.795631049961901,1,APLA,7815.511315281799,6300.85125503267,105014.18758387785,13,1.7884202159168467,2026-03-13
Pro Dri-FIT Tight,North America DC - 01,8591.453736366251,9450.599110002877,1288.7180604549376,NK-AP-PDF-5655,63.46153993742458,3.378466248343601,2,North America,2990.4633725941844,1288.7180604549376,21478.63434091563,31,2.5682710138891243,2026-03-18
Air Max Plus,EMEA DC - 02,30617.371216547246,33679.10833820197,4592.605682482087,NK-AM-PLS-7384,71.8832590878326,0.9146905579854603,2,EMEA,11802.0280816105,4592.605682482087,76543.42804136811,57,1.648231518117178,2026-03-16
Pro Dri-FIT Tight,EMEA DC - 01,34968.977403144134,38465.87514345855,5245.34661047162,NK-AP-PDF-5572,88.13596444228061,2.7255726328805405,1,EMEA,7603.629767786392,5245.34661047162,87422.44350786033,16,1.6808756422166777,2026-03-17
Vaporfly 3,North America DC - 01,45219.072332993645,49740.97956629301,6782.8608499490465,NK-VF-3-4549,71.06206644882025,0.8257258808381245,3,North America,8559.290652709944,6782.8608499490465,113047.68083248411,26,4.153109532612405,2026-03-13
Ja 1,EMEA DC - 03,26781.704464500242,29459.874910950268,4017.255669675036,NK-BK-JA1-1285,78.98587903316222,0.9181446263991089,3,EMEA,5770.756890951095,4017.255669675036,66954.2611612506,46,3.2988757854235913,2026-03-16
ACG Mountain Fly,EMEA DC - 03,4355.510182397191,4791.06120063691,653.3265273595786,NK-AP-ACG-3871,74.3473109820117,4.950247112780619,1,EMEA,862.3607382510182,653.3265273595786,10888.775455992978,27,3.6576836082362383,2026-03-13
ACG Mountain Fly,Greater China DC - 01,29124.8039427644,32037.28433704084,4368.72059141466,NK-AP-ACG-7047,74.91696902671944,2.857730322256642,1,Greater China,9475.95968155424,4368.72059141466,72812.009856911,24,3.0274815804515214,2026-03-16
Air Max 90,APLA DC - 02,5983.717314682101,6582.089046150311,897.557597202315,NK-AM-90-7963,88.5238924660029,4.465659423645586,1,APLA,2031.6450821836756,897.557597202315,14959.293286705251,54,4.201186615506879,2026-03-15
Dri-FIT Running Shirt M,APLA DC - 02,46324.246708559884,50956.67137941588,6948.637006283982,NK-RA-RM-4245,62.94963897991174,3.3815032126597635,2,APLA,18087.78289507478,6948.637006283982,115810.61677139971,60,4.352263617783583,2026-03-14
Element Crew Top,APLA DC - 01,2479.0556774046972,2726.961245145167,371.8583516107046,NK-AP-ECT-2322,75.18665916133129,2.9469031886893475,1,APLA,585.1112398463171,371.8583516107046,6197.639193511743,46,3.8369733330267093,2026-03-11
Air Max 270,Greater China DC - 01,48455.79532714001,53301.37485985402,7268.3692990710015,NK-AM-270-3991,89.02450866858435,1.4471752608380448,2,Greater China,17558.917514156903,7268.3692990710015,121139.48831785003,33,2.072513588258134,2026-03-13
Invincible 3,North America DC - 02,37612.21039532523,41373.43143485775,5641.831559298785,NK-IV-3-8613,83.3157520219756,1.9119149237841366,1,North America,7859.593027825165,5641.831559298785,94030.52598831308,33,1.6117488257025254,2026-03-14
Pro Dri-FIT Tight,North America DC - 03,22539.171791031717,24793.08897013489,3380.8757686547574,NK-AP-PDF-7838,70.92929743307445,1.3869172085470118,2,North America,3956.9701509951165,3380.8757686547574,56347.929477579295,52,2.045214623190452,2026-03-11
Tech Fleece Joggers M,North America DC - 03,39046.060859649195,42950.66694561412,5856.909128947379,NK-AP-TJ-3090,79.17838691725075,0.8015748575598372,2,North America,3917.756155906364,5856.909128947379,97615.152149123,20,4.3630019707366365,2026-03-11
Pro Dri-FIT Tight,North America DC - 01,16813.71524681509,18495.0867714966,2522.057287022263,NK-AP-PDF-8902,88.11955589533608,1.4026266412212633,1,North America,4744.698015653014,2522.057287022263,42034.28811703772,42,2.809857811925235,2026-03-17
Air Max 90,North America DC - 01,31669.559169349224,34836.51508628415,4750.433875402384,NK-AM-90-8814,86.71533062193073,2.3520004280164533,1,North America,4674.904691332989,4750.433875402384,79173.89792337306,19,1.9975338145316162,2026-03-10
Air Max 270,Greater China DC - 01,30347.84474174248,33382.62921591673,4552.176711261372,NK-AM-270-4177,69.99343354814498,2.6165494069005213,1,Greater China,10078.708460501168,4552.176711261372,75869.6118543562,31,2.0868338756232987,2026-03-17
Dri-FIT Running Shirt W,APLA DC - 01,16602.103598020403,18262.313957822444,2490.3155397030605,NK-RA-RW-4374,70.06192600404185,2.240903172319705,3,APLA,5407.897251434286,2490.3155397030605,41505.25899505101,34,3.666976236652796,2026-03-17
Element Crew Top,Greater China DC - 01,11765.01825353125,12941.520078884376,1764.7527380296876,NK-AP-ECT-2304,60.17680988424606,0.9573211245682549,3,Greater China,2456.2030346027573,1764.7527380296876,29412.545633828126,39,1.6685209332898752,2026-03-19
Jordan Stay Loyal 3,EMEA DC - 02,4280.884686159245,4708.97315477517,642.1327029238867,NK-JD-SL3-9203,63.198537308416,0.8643267613691188,1,EMEA,1260.2413476259028,642.1327029238867,10702.211715398113,27,3.0844376973955576,2026-03-13
React Phantom Run 3,EMEA DC - 03,3764.8768837563302,4141.3645721319635,564.7315325634495,NK-RT-3-8244,72.06240070460055,2.6588622591481674,3,EMEA,821.1913281861171,564.7315325634495,9412.192209390825,35,3.2126968841901555,2026-03-11
Tech Fleece Joggers M,Greater China DC - 02,28510.82914177259,31361.91205594985,4276.624371265888,NK-AP-TJ-9786,67.3119753056133,1.2453814238316896,2,Greater China,10229.839901413694,4276.624371265888,71277.07285443148,49,3.859125716933625,2026-03-14
Dri-FIT Running Shirt M,EMEA DC - 01,13835.803327137124,15219.383659850837,2075.3704990705687,NK-RA-RM-5588,64.09277665016555,2.571063725145657,3,EMEA,3114.2607047807983,2075.3704990705687,34589.50831784281,35,3.9799411362638986,2026-03-12
Element Crew Top,APLA DC - 01,23683.117882177357,26051.429670395097,3552.4676823266036,NK-AP-ECT-8470,71.13722161666331,3.9719637653033355,1,APLA,2428.7216074784187,3552.4676823266036,59207.79470544339,11,3.2339824114982445,2026-03-11
Dri-FIT Running Shirt W,APLA DC - 02,25041.194129478714,27545.31354242659,3756.1791194218067,NK-RA-RW-7169,77.24881122920755,1.0585658386655727,3,APLA,3600.46522953637,3756.1791194218067,62602.98532369678,36,4.4736017303194116,2026-03-19
Dri-FIT Running Shirt M,EMEA DC - 03,37975.769973997674,41773.34697139745,5696.365496099651,NK-RA-RM-1285,81.88469698405248,2.209849732029781,3,EMEA,10319.748368969913,5696.365496099651,94939.42493499418,57,3.3158582827689935,2026-03-13
ACG Mountain Fly,Greater China DC - 01,35182.33975320272,38700.573728523,5277.350962980408,NK-AP-ACG-3081,73.19850709291079,1.5660499958772043,3,Greater China,7782.417397248061,5277.350962980408,87955.8493830068,56,1.8843691646746152,2026-03-10
Element Crew Top,EMEA DC - 03,18905.172869254293,20795.690156179724,2835.775930388144,NK-AP-ECT-1631,69.53383770817477,4.664952637129092,3,EMEA,2051.6495854912505,2835.775930388144,47262.932173135734,31,2.752787780163806,2026-03-15
Court Vision Low,EMEA DC - 02,11659.043929239639,12824.948322163604,1748.8565893859457,NK-CV-L-9062,77.33878111529374,0.8473262281043459,1,EMEA,1585.9560481675173,1748.8565893859457,29147.609823099097,47,3.268414620707789,2026-03-13
ACG Mountain Fly,APLA DC - 01,31010.65014607771,34111.71516068548,4651.597521911656,NK-AP-ACG-9756,67.84581875171362,4.07246718201045,3,APLA,7354.825089396028,4651.597521911656,77526.62536519428,36,2.967155692190944,2026-03-10
Dri-FIT Running Shirt W,EMEA DC - 02,42861.62866567449,47147.79153224194,6429.244299851173,NK-RA-RW-6250,85.1590505853369,2.0863208624189777,1,EMEA,8414.600866643379,6429.244299851173,107154.07166418622,60,4.219881482508707,2026-03-12
Sportswear Icon Clash,EMEA DC - 01,3532.7040562942775,3885.9744619237053,529.9056084441416,NK-AP-IC-6492,89.63398744343367,3.6132804735739565,1,EMEA,809.0281115461177,529.9056084441416,8831.760140735694,52,4.172219679631181,2026-03-19
Element Crew Top,APLA DC - 01,34943.67591367851,38438.043505046364,5241.551387051776,NK-AP-ECT-6897,64.98896003080532,1.0710030886001054,1,APLA,10193.58345402926,5241.551387051776,87359.18978419628,32,1.6916948056870802,2026-03-15
Air Max Plus,APLA DC - 03,9026.058757711511,9928.664633482664,1353.9088136567266,NK-AM-PLS-5102,87.89243009895384,4.07743695042444,1,APLA,3590.6563092237116,1353.9088136567266,22565.146894278776,27,2.1714597800920417,2026-03-10
Air Max Plus,North America DC - 02,26573.932937315436,29231.326231046984,3986.089940597315,NK-AM-PLS-6892,69.14662188348743,4.968458516527189,2,North America,9068.304510979691,3986.089940597315,66434.8323432886,38,3.188488297060843,2026-03-17
ACG Mountain Fly,EMEA DC - 03,35838.70801327801,39422.57881460581,5375.8062019917015,NK-AP-ACG-6043,66.01493956678378,4.297328407692657,3,EMEA,11471.506858061575,5375.8062019917015,89596.77003319503,11,3.172868312787475,2026-03-16
Air Max Plus,North America DC - 01,41849.294791369946,46034.224270506944,6277.394218705492,NK-AM-PLS-5283,65.53423199160018,1.2451262453475864,3,North America,4810.583429012239,6277.394218705492,104623.23697842486,33,4.331978903106503,2026-03-17
Sportswear Icon Clash,EMEA DC - 02,9629.975950980013,10592.973546078016,1444.496392647002,NK-AP-IC-8994,85.09844811477167,3.837234506015864,3,EMEA,2499.8205028546586,1444.496392647002,24074.939877450033,59,4.079943158646035,2026-03-11
Yoga Luxe Leggings,Greater China DC - 01,27541.274613025533,30295.40207432809,4131.19119195383,NK-AP-YLL-9738,64.94125317199473,2.67607631084808,2,Greater China,9127.679670438294,4131.19119195383,68853.18653256384,19,1.5311013096877788,2026-03-16
Storm-FIT Jacket,APLA DC - 02,19184.844844753523,21103.329329228876,2877.7267267130283,NK-AP-SFJ-1008,77.44008963878792,4.643370725811673,1,APLA,6002.869553200489,2877.7267267130283,47962.112111883805,33,2.459251272210402,2026-03-19
Storm-FIT Jacket,EMEA DC - 02,42678.54935045479,46946.40428550028,6401.7824025682185,NK-AP-SFJ-9312,70.50019453630561,2.655514533636379,3,EMEA,8257.41287773181,6401.7824025682185,106696.37337613698,55,3.2340200143748947,2026-03-10
Element Crew Top,EMEA DC - 03,42539.21199652643,46793.13319617908,6380.881799478964,NK-AP-ECT-7348,84.07800405584598,4.722917709405005,2,EMEA,15080.155209678587,6380.881799478964,106348.02999131607,29,1.5335288490086993,2026-03-15
LeBron XXI,EMEA DC - 02,13466.506390692453,14813.1570297617,2019.9759586038679,NK-BK-L21-8558,84.42312460094577,2.6954151482444884,1,EMEA,4529.387929189396,2019.9759586038679,33666.265976731134,11,4.235236202337303,2026-03-10
Court Vision Low,Greater China DC - 01,3721.781223958041,4093.959346353846,558.2671835937061,NK-CV-L-8176,64.32073379890355,3.7972285017149288,2,Greater China,1339.1703815042151,558.2671835937061,9304.453059895102,45,2.294961225890522,2026-03-19
Air Max 270,APLA DC - 03,11793.577959944812,12972.935755939294,1769.036693991722,NK-AM-270-1595,89.26607854411635,3.8414110404944495,2,APLA,1843.0625326561053,1769.036693991722,29483.944899862032,22,2.302706599496252,2026-03-13
Pro Dri-FIT Tight,Greater China DC - 01,15479.51227972235,17027.463507694585,2321.9268419583523,NK-AP-PDF-5946,77.53512908877383,0.9248245307454916,2,Greater China,3490.2573700561948,2321.9268419583523,38698.78069930588,24,4.262391067904998,2026-03-17
Invincible 3,APLA DC - 01,30302.319152711036,33332.551067982145,4545.3478729066555,NK-IV-3-7797,65.25470778096782,1.5531365608424785,3,APLA,11160.489483462741,4545.3478729066555,75755.79788177759,37,2.025319925033834,2026-03-10
Yoga Luxe Leggings,North America DC - 01,16500.82992700229,18150.91291970252,2475.1244890503435,NK-AP-YLL-4047,62.00124136988466,3.792138649880531,3,North America,4752.847960910152,2475.1244890503435,41252.07481750572,29,2.3621927459369756,2026-03-11
ACG Mountain Fly,North America DC - 02,36209.12179626207,39830.033975888284,5431.368269439311,NK-AP-ACG-1008,75.0642814246931,1.853202914632711,1,North America,6293.996219016807,5431.368269439311,90522.80449065518,43,2.59636419013077,2026-03-16
Pro Dri-FIT Tight,North America DC - 03,28040.339209400787,30844.373130340868,4206.050881410118,NK-AP-PDF-2863,74.57192722151048,3.1037448221267256,1,North America,4827.816892585785,4206.050881410118,70100.84802350197,46,4.459754562204187,2026-03-13
Vaporfly 3,Greater China DC - 03,33232.953145787396,36556.248460366136,4984.942971868109,NK-VF-3-2576,80.0783172373333,1.8677920237082297,2,Greater China,12543.02543845519,4984.942971868109,83082.3828644685,21,3.856823597684131,2026-03-16
LeBron XXI,North America DC - 02,19412.13836196428,21353.35219816071,2911.820754294642,NK-BK-L21-6642,66.02482642485097,1.5283813424463002,1,North America,5814.640751637297,2911.820754294642,48530.345904910704,23,2.971334025501558,2026-03-15
Jordan Stay Loyal 3,EMEA DC - 01,35470.001364419266,39017.001500861195,5320.50020466289,NK-JD-SL3-1984,76.51990200038874,2.47938402546644,2,EMEA,10632.881652825998,5320.50020466289,88675.00341104816,33,1.633806941408691,2026-03-17
Air Max Plus,APLA DC - 03,12126.896708469096,13339.586379316006,1819.0345062703643,NK-AM-PLS-4274,79.40700936324151,2.414477781743372,2,APLA,4647.781578610372,1819.0345062703643,30317.24177117274,38,4.201335199784285,2026-03-16
Blazer Mid '77,EMEA DC - 02,9960.928112056803,10957.020923262484,1494.1392168085204,NK-BZ-77-3515,60.06531550991864,3.5880011240641116,2,EMEA,2003.7693089923196,1494.1392168085204,24902.32028014201,38,3.7871993767538035,2026-03-10
Element Crew Top,North America DC - 02,25619.483687874617,28181.43205666208,3842.9225531811926,NK-AP-ECT-6140,64.54304079805674,4.4160426364452565,3,North America,3396.893143306136,3842.9225531811926,64048.70921968654,29,4.226762407663558,2026-03-15
Storm-FIT Jacket,EMEA DC - 01,38120.2922219041,41932.321444094516,5718.043833285615,NK-AP-SFJ-9149,71.83406976784153,2.455432778220403,2,EMEA,10834.64165074623,5718.043833285615,95300.73055476024,55,4.275316347533348,2026-03-15
Air Max 270,EMEA DC - 03,5734.323779727943,6307.756157700737,860.1485669591914,NK-AM-270-2251,68.97232484538061,0.860744636956456,3,EMEA,2014.433342382498,860.1485669591914,14335.809449319857,22,2.201933471822792,2026-03-11
Air Max 90,APLA DC - 03,8477.539188691415,9325.293107560557,1271.6308783037123,NK-AM-90-1082,66.01348921163869,4.145618708912784,3,APLA,1498.3192944551536,1271.6308783037123,21193.847971728537,39,3.33318853892227,2026-03-11
Air Max 90,EMEA DC - 01,10209.498308721362,11230.4481395935,1531.4247463082042,NK-AM-90-6944,60.425098543348426,1.9821516309366358,1,EMEA,1798.3341016648023,1531.4247463082042,25523.745771803406,16,4.120895528002016,2026-03-18
SB Dunk Low Pro,EMEA DC - 03,46916.19152212038,51607.810674332424,7037.428728318057,NK-SB-DLP-7154,89.48608125404131,1.635432239320349,3,EMEA,14591.265116772887,7037.428728318057,117290.47880530095,60,2.3725131551928245,2026-03-12
Jordan Stay Loyal 3,EMEA DC - 02,21239.510167562585,23363.461184318847,3185.9265251343877,NK-JD-SL3-6977,82.85268786685745,4.192516440499939,2,EMEA,4782.069324649126,3185.9265251343877,53098.77541890646,18,1.8966519311796004,2026-03-18
React Phantom Run 3,Greater China DC - 01,15878.562189323256,17466.418408255584,2381.7843283984885,NK-RT-3-4365,61.112986482916014,0.6761862325690869,3,Greater China,6184.752796419027,2381.7843283984885,39696.40547330814,26,2.440413664562665,2026-03-18
Court Vision Low,EMEA DC - 03,38406.798995826895,42247.478895409586,5761.0198493740345,NK-CV-L-5684,83.1088401455384,0.5125129016168732,1,EMEA,9453.124337391726,5761.0198493740345,96016.99748956723,28,2.124040446817787,2026-03-19
Tech Fleece Joggers M,North America DC - 02,37449.87060544285,41194.85766598713,5617.480590816427,NK-AP-TJ-2553,70.07707647751968,2.5249460954572704,1,North America,10686.410619278573,5617.480590816427,93624.67651360712,36,1.625692350103328,2026-03-15
Air Max 90,North America DC - 03,14182.209836253325,15600.430819878658,2127.3314754379985,NK-AM-90-7160,81.6392656361147,3.8391785796068025,1,North America,1520.9729731555974,2127.3314754379985,35455.524590633315,45,1.8532939270527908,2026-03-18
React Phantom Run 3,APLA DC - 02,36253.56292605946,39878.9192186654,5438.034438908919,NK-RT-3-7675,60.40820547508876,3.249841893035598,2,APLA,13153.64055706611,5438.034438908919,90633.90731514865,54,2.849804832840789,2026-03-14
Jordan Stay Loyal 3,Greater China DC - 03,24526.55567320472,26979.211240525194,3678.9833509807077,NK-JD-SL3-1626,66.97848889686273,2.543065273256802,1,Greater China,6119.784205585653,3678.9833509807077,61316.389183011794,48,1.7304751539276113,2026-03-19
ACG Mountain Fly,EMEA DC - 01,28504.333074588583,31354.766382047444,4275.649961188287,NK-AP-ACG-6892,88.68004202866776,3.6193023284277697,1,EMEA,4350.9875152142195,4275.649961188287,71260.83268647146,19,2.100186332962574,2026-03-10
Sportswear Icon Clash,EMEA DC - 02,27706.40905003605,30477.04995503966,4155.961357505407,NK-AP-IC-3510,85.68640056384761,0.9825684040078451,3,EMEA,7360.569312146271,4155.961357505407,69266.02262509013,56,3.8057428874137305,2026-03-16
