Activity3.[Activity3],Demand Type.[Demand Type],Supplier.[Supplier Location],Version.[Version Name],Activity1.[Activity1],Activity2.[Activity2],Documents.[OrderlineID],Location.[Location],Time.[Week],Item.[Item],W Procurement Forecast Due to Forecast,W Procurement Forecast Due to Orders,W Procurement Forecast Intermediate with Demand Type Input To R,W Procurement Forecast With Demand Type,W Procurement Forecast With Demand Type within Lead Time
PROD,FIRM,Chennai Textiles,Baseline FY26,CUT,SEW,PO-20962,North America,2026-W14,NK-AP-ECT-3837,899.0197057306013,385.2941595988292,1284.3138653294307,1284.3138653294307,642.1569326647153
PROD,FORECAST,Guangzhou Footwear,Baseline FY26,CUT,SEW,PO-27029,EMEA,2026-W14,NK-AP-PDF-1285,848.7287276075947,363.74088326039777,1212.4696108679925,1212.4696108679925,606.2348054339963
PROD,FIRM,Jakarta Apparel,Baseline FY26,CUT,SEW,PO-49644,APLA,2026-W14,NK-AM-270-4914,1663.2702227235193,712.8300954529369,2376.1003181764563,2376.1003181764563,1188.0501590882282
PROD,FORECAST,Jakarta Apparel,Baseline FY26,CUT,SEW,PO-86354,Greater China,2026-W14,NK-AP-SFJ-8792,5512.530630484291,2362.5131273504103,7875.043757834701,7875.043757834701,3937.5218789173505
PROD,FORECAST,Guangzhou Footwear,Baseline FY26,CUT,SEW,PO-17717,North America,2026-W14,NK-VF-3-8796,6112.030407549388,2619.441603235452,8731.47201078484,8731.47201078484,4365.73600539242
PROD,FIRM,Chennai Textiles,Baseline FY26,CUT,SEW,PO-50758,APLA,2026-W14,NK-AP-YLL-2175,4491.221816034803,1924.8093497292011,6416.031165764004,6416.031165764004,3208.015582882002
PROD,FIRM,Dhaka Garments,Baseline FY26,CUT,SEW,PO-92641,EMEA,2026-W14,NK-BZ-77-4292,6434.3775662010385,2757.5903855147308,9191.96795171577,9191.96795171577,4595.983975857885
PROD,FORECAST,Dhaka Garments,Baseline FY26,CUT,SEW,PO-56120,EMEA,2026-W14,NK-AP-ECT-6928,6770.194255296111,2901.511823698333,9671.706078994444,9671.706078994444,4835.853039497222
PROD,FORECAST,Chennai Textiles,Baseline FY26,CUT,SEW,PO-36047,APLA,2026-W14,NK-AM-270-6395,4840.075982781729,2074.3182783350267,6914.394261116756,6914.394261116756,3457.197130558378
PROD,FORECAST,Dhaka Garments,Baseline FY26,CUT,SEW,PO-24118,Greater China,2026-W14,NK-BZ-77-3498,2794.602694626923,1197.6868691258242,3992.2895637527477,3992.2895637527477,1996.1447818763738
PROD,FORECAST,Guangzhou Footwear,Baseline FY26,CUT,SEW,PO-20144,EMEA,2026-W14,NK-CV-L-1841,3294.7133372825865,1412.020001692537,4706.733338975124,4706.733338975124,2353.366669487562
PROD,FIRM,Monterrey Logistics,Baseline FY26,CUT,SEW,PO-44652,EMEA,2026-W14,NK-RA-RW-1912,1782.8944707663306,764.0976303284275,2546.9921010947583,2546.9921010947583,1273.4960505473791
PROD,FORECAST,Chennai Textiles,Baseline FY26,CUT,SEW,PO-39510,EMEA,2026-W14,NK-AM-PLS-9136,3184.2557438013773,1364.6810330577332,4548.936776859111,4548.936776859111,2274.4683884295555
PROD,FORECAST,Guangzhou Footwear,Baseline FY26,CUT,SEW,PO-22018,North America,2026-W14,NK-IV-3-8498,5141.008324026179,2203.2892817255056,7344.297605751685,7344.297605751685,3672.1488028758426
PROD,FORECAST,Saigon Premium,Baseline FY26,CUT,SEW,PO-91987,EMEA,2026-W14,NK-AP-ACG-6503,5268.855726161388,2258.0810254977378,7526.9367516591265,7526.9367516591265,3763.4683758295632
PROD,FORECAST,Saigon Premium,Baseline FY26,CUT,SEW,PO-62758,EMEA,2026-W14,NK-BK-JA1-5835,6820.73560159129,2923.172400681982,9743.908002273272,9743.908002273272,4871.954001136636
PROD,FORECAST,Monterrey Logistics,Baseline FY26,CUT,SEW,PO-96252,EMEA,2026-W14,NK-VF-3-7036,1777.3453295042912,761.7194269304106,2539.064756434702,2539.064756434702,1269.532378217351
PROD,FIRM,Saigon Premium,Baseline FY26,CUT,SEW,PO-85393,Greater China,2026-W14,NK-AP-YLL-3063,5299.061754927263,2271.0264663973985,7570.088221324661,7570.088221324661,3785.0441106623307
PROD,FIRM,Chennai Textiles,Baseline FY26,CUT,SEW,PO-38491,APLA,2026-W14,NK-AP-ECT-9121,6324.161013770035,2710.3547201871584,9034.515733957194,9034.515733957194,4517.257866978597
PROD,FORECAST,Chennai Textiles,Baseline FY26,CUT,SEW,PO-91910,EMEA,2026-W14,NK-AP-ACG-2652,5252.171782432603,2250.9307638996875,7503.102546332291,7503.102546332291,3751.5512731661456
PROD,FIRM,Saigon Premium,Baseline FY26,CUT,SEW,PO-27114,Greater China,2026-W14,NK-AP-IC-1233,6635.4650690082635,2843.7707438606844,9479.235812868948,9479.235812868948,4739.617906434474
PROD,FIRM,Jakarta Apparel,Baseline FY26,CUT,SEW,PO-46733,Greater China,2026-W14,NK-AM-270-3246,2464.2033411590583,1056.0871462110251,3520.2904873700836,3520.2904873700836,1760.1452436850418
PROD,FIRM,Dhaka Garments,Baseline FY26,CUT,SEW,PO-93522,APLA,2026-W14,NK-AP-ACG-9756,5217.412622371648,2236.0339810164205,7453.446603388068,7453.446603388068,3726.723301694034
PROD,FIRM,Monterrey Logistics,Baseline FY26,CUT,SEW,PO-27836,Greater China,2026-W14,NK-VF-3-1817,3033.7728109272985,1300.1883475402708,4333.9611584675695,4333.9611584675695,2166.9805792337847
PROD,FORECAST,Saigon Premium,Baseline FY26,CUT,SEW,PO-70173,Greater China,2026-W14,NK-AP-YLL-6471,1964.3686698162942,841.8722870641261,2806.2409568804205,2806.2409568804205,1403.1204784402103
PROD,FIRM,Jakarta Apparel,Baseline FY26,CUT,SEW,PO-75971,EMEA,2026-W14,NK-BK-L21-4806,6610.561143952233,2833.0976331223856,9443.65877707462,9443.65877707462,4721.82938853731
PROD,FIRM,Saigon Premium,Baseline FY26,CUT,SEW,PO-50082,North America,2026-W14,NK-BK-L21-6491,3011.90672881093,1290.8171694903986,4302.7238983013285,4302.7238983013285,2151.3619491506643
PROD,FIRM,Jakarta Apparel,Baseline FY26,CUT,SEW,PO-26056,Greater China,2026-W14,NK-AP-IC-4027,3974.939729609715,1703.5455984041635,5678.485328013879,5678.485328013879,2839.2426640069393
PROD,FIRM,Guangzhou Footwear,Baseline FY26,CUT,SEW,PO-85612,EMEA,2026-W14,NK-VF-3-9057,4804.625682831045,2059.1252926418765,6863.750975472923,6863.750975472923,3431.8754877364613
PROD,FORECAST,Jakarta Apparel,Baseline FY26,CUT,SEW,PO-13952,Greater China,2026-W14,NK-RA-RW-7298,3890.0665071098438,1667.1713601899332,5557.2378672997775,5557.2378672997775,2778.6189336498887
PROD,FORECAST,Dhaka Garments,Baseline FY26,CUT,SEW,PO-10383,APLA,2026-W14,NK-AP-YLL-6641,3695.396414364559,1583.741320441954,5279.137734806513,5279.137734806513,2639.5688674032567
PROD,FIRM,Jakarta Apparel,Baseline FY26,CUT,SEW,PO-15043,North America,2026-W14,NK-AP-YLL-7878,4155.453704396332,1780.908730455571,5936.362434851903,5936.362434851903,2968.1812174259517
PROD,FORECAST,Dhaka Garments,Baseline FY26,CUT,SEW,PO-71088,Greater China,2026-W14,NK-JD-SL3-9393,4136.137162701312,1772.6302125862767,5908.767375287589,5908.767375287589,2954.3836876437945
PROD,FORECAST,Jakarta Apparel,Baseline FY26,CUT,SEW,PO-56961,APLA,2026-W14,NK-MT-9-5547,4398.895651292372,1885.240993411017,6284.13664470339,6284.13664470339,3142.068322351695
PROD,FORECAST,Guangzhou Footwear,Baseline FY26,CUT,SEW,PO-29926,North America,2026-W14,NK-AP-PDF-8902,1445.2060018502248,619.3740007929536,2064.5800026431784,2064.5800026431784,1032.2900013215892
PROD,FORECAST,Saigon Premium,Baseline FY26,CUT,SEW,PO-71302,APLA,2026-W14,NK-MT-9-5565,4083.984964897886,1750.2792706705227,5834.264235568409,5834.264235568409,2917.1321177842046
PROD,FIRM,Chennai Textiles,Baseline FY26,CUT,SEW,PO-72016,North America,2026-W14,NK-AP-IC-1485,1162.3032568318524,498.12996721365107,1660.4332240455037,1660.4332240455037,830.2166120227519
PROD,FORECAST,Dhaka Garments,Baseline FY26,CUT,SEW,PO-10266,Greater China,2026-W14,NK-BK-KD16-7280,1522.0476737034196,652.3061458728941,2174.353819576314,2174.353819576314,1087.176909788157
PROD,FIRM,Monterrey Logistics,Baseline FY26,CUT,SEW,PO-62258,APLA,2026-W14,NK-AP-YLL-8142,871.8842771575511,373.66469021037904,1245.5489673679301,1245.5489673679301,622.7744836839651
PROD,FORECAST,Chennai Textiles,Baseline FY26,CUT,SEW,PO-10363,North America,2026-W14,NK-ZP-40-6927,6436.2091958183755,2758.375369636447,9194.584565454823,9194.584565454823,4597.2922827274115
PROD,FIRM,Monterrey Logistics,Baseline FY26,CUT,SEW,PO-40257,North America,2026-W14,NK-AP-ACG-4735,1956.1449268199267,838.3478257799686,2794.4927525998955,2794.4927525998955,1397.2463762999478
PROD,FORECAST,Saigon Premium,Baseline FY26,CUT,SEW,PO-18876,Greater China,2026-W14,NK-AP-IC-8242,2947.8053057126426,1263.345131019704,4211.150436732347,4211.150436732347,2105.5752183661734
PROD,FORECAST,Saigon Premium,Baseline FY26,CUT,SEW,PO-72113,Greater China,2026-W14,NK-AP-TJ-2553,1289.1796141520663,552.5055489223141,1841.6851630743804,1841.6851630743804,920.8425815371902
PROD,FIRM,Dhaka Garments,Baseline FY26,CUT,SEW,PO-88083,Greater China,2026-W14,NK-RA-RM-4800,4885.937843795295,2093.973361626555,6979.911205421849,6979.911205421849,3489.9556027109247
PROD,FIRM,Chennai Textiles,Baseline FY26,CUT,SEW,PO-35325,APLA,2026-W14,NK-AM-270-9815,1364.273872109488,584.6888023326377,1948.9626744421257,1948.9626744421257,974.4813372210629
PROD,FORECAST,Jakarta Apparel,Baseline FY26,CUT,SEW,PO-16064,Greater China,2026-W14,NK-AM-270-4402,3662.0776198242197,1569.4618370675228,5231.539456891743,5231.539456891743,2615.7697284458714
PROD,FIRM,Dhaka Garments,Baseline FY26,CUT,SEW,PO-87729,North America,2026-W14,NK-AP-ECT-7149,4920.905276787322,2108.9594043374236,7029.864681124745,7029.864681124745,3514.9323405623727
PROD,FORECAST,Jakarta Apparel,Baseline FY26,CUT,SEW,PO-28312,APLA,2026-W14,NK-SB-DLP-6139,2274.182304360572,974.6495590116737,3248.8318633722456,3248.8318633722456,1624.4159316861228
PROD,FIRM,Guangzhou Footwear,Baseline FY26,CUT,SEW,PO-88716,North America,2026-W14,NK-AP-TJ-3459,4899.877903267984,2099.947672829136,6999.825576097121,6999.825576097121,3499.9127880485603
PROD,FORECAST,Jakarta Apparel,Baseline FY26,CUT,SEW,PO-97369,EMEA,2026-W14,NK-ZP-40-9167,2349.182206418587,1006.7923741793945,3355.974580597982,3355.974580597982,1677.987290298991
PROD,FIRM,Saigon Premium,Baseline FY26,CUT,SEW,PO-44184,EMEA,2026-W14,NK-AP-YLL-2412,5673.8738889590095,2431.6602381252897,8105.534127084299,8105.534127084299,4052.7670635421496
PROD,FIRM,Jakarta Apparel,Baseline FY26,CUT,SEW,PO-90120,APLA,2026-W14,NK-CV-L-2668,4762.45406772173,2041.051743309313,6803.505811031044,6803.505811031044,3401.752905515522
PROD,FIRM,Jakarta Apparel,Baseline FY26,CUT,SEW,PO-44626,EMEA,2026-W14,NK-AP-SFJ-3685,4900.71048756689,2100.3044946715245,7001.0149822384155,7001.0149822384155,3500.5074911192078
PROD,FIRM,Chennai Textiles,Baseline FY26,CUT,SEW,PO-31119,Greater China,2026-W14,NK-RA-RM-1551,2462.2232157442986,1055.238521033271,3517.4617367775695,3517.4617367775695,1758.7308683887848
PROD,FIRM,Jakarta Apparel,Baseline FY26,CUT,SEW,PO-52213,EMEA,2026-W14,NK-AP-PDF-4621,1175.0874114107878,503.60889060462335,1678.6963020154112,1678.6963020154112,839.3481510077056
PROD,FIRM,Dhaka Garments,Baseline FY26,CUT,SEW,PO-60210,Greater China,2026-W14,NK-BK-L21-4806,6813.610691963474,2920.118867984346,9733.72955994782,9733.72955994782,4866.86477997391
PROD,FIRM,Guangzhou Footwear,Baseline FY26,CUT,SEW,PO-96689,APLA,2026-W14,NK-AP-YLL-6079,4423.957178737103,1895.9816480301872,6319.938826767291,6319.938826767291,3159.9694133836456
PROD,FIRM,Monterrey Logistics,Baseline FY26,CUT,SEW,PO-26632,North America,2026-W14,NK-ZP-40-4484,3880.4280278168244,1663.0405833500677,5543.4686111668925,5543.4686111668925,2771.7343055834463
PROD,FORECAST,Jakarta Apparel,Baseline FY26,CUT,SEW,PO-42143,EMEA,2026-W14,NK-BK-KD16-4199,4880.103988949129,2091.4731381210554,6971.577127070185,6971.577127070185,3485.7885635350926
PROD,FIRM,Chennai Textiles,Baseline FY26,CUT,SEW,PO-59434,Greater China,2026-W14,NK-BK-KD16-9786,5362.018954904971,2298.008123530702,7660.0270784356735,7660.0270784356735,3830.0135392178368
PROD,FIRM,Jakarta Apparel,Baseline FY26,CUT,SEW,PO-30432,North America,2026-W14,NK-ZP-40-1976,4730.155317392572,2027.2094217396739,6757.3647391322465,6757.3647391322465,3378.6823695661233
PROD,FIRM,Monterrey Logistics,Baseline FY26,CUT,SEW,PO-27812,EMEA,2026-W14,NK-AP-TJ-7573,1021.1718093188678,437.64506113665766,1458.8168704555255,1458.8168704555255,729.4084352277628
PROD,FIRM,Dhaka Garments,Baseline FY26,CUT,SEW,PO-25207,North America,2026-W14,NK-IV-3-3558,5156.58356940276,2209.964386886897,7366.547956289657,7366.547956289657,3683.2739781448286
PROD,FORECAST,Dhaka Garments,Baseline FY26,CUT,SEW,PO-94642,EMEA,2026-W14,NK-BK-L21-3884,6719.896509097764,2879.9556467561847,9599.852155853949,9599.852155853949,4799.926077926974
PROD,FORECAST,Saigon Premium,Baseline FY26,CUT,SEW,PO-84769,Greater China,2026-W14,NK-ZP-40-3550,6530.570519383069,2798.815936878458,9329.386456261527,9329.386456261527,4664.693228130764
PROD,FORECAST,Saigon Premium,Baseline FY26,CUT,SEW,PO-20259,EMEA,2026-W14,NK-RT-3-6708,4585.153644083183,1965.0658474642214,6550.219491547405,6550.219491547405,3275.1097457737023
PROD,FORECAST,Jakarta Apparel,Baseline FY26,CUT,SEW,PO-55519,EMEA,2026-W14,NK-IV-3-3600,3540.8517670437627,1517.5079001616125,5058.359667205375,5058.359667205375,2529.1798336026877
PROD,FIRM,Chennai Textiles,Baseline FY26,CUT,SEW,PO-68004,EMEA,2026-W14,NK-AP-ACG-9692,6269.335257584845,2686.857967536362,8956.193225121207,8956.193225121207,4478.096612560604
PROD,FORECAST,Guangzhou Footwear,Baseline FY26,CUT,SEW,PO-37131,APLA,2026-W14,NK-VF-3-7254,776.9615265817298,332.98351139216993,1109.9450379738998,1109.9450379738998,554.9725189869499
PROD,FIRM,Saigon Premium,Baseline FY26,CUT,SEW,PO-46319,APLA,2026-W14,NK-IV-3-2252,5870.06952724786,2515.7440831062254,8385.813610354086,8385.813610354086,4192.906805177043
PROD,FORECAST,Guangzhou Footwear,Baseline FY26,CUT,SEW,PO-72165,APLA,2026-W14,NK-BK-L21-8023,3186.392121840284,1365.596623645836,4551.98874548612,4551.98874548612,2275.99437274306
PROD,FORECAST,Dhaka Garments,Baseline FY26,CUT,SEW,PO-75776,Greater China,2026-W14,NK-RA-RM-2364,779.0975681311598,333.8989577704971,1112.996525901657,1112.996525901657,556.4982629508285
PROD,FIRM,Saigon Premium,Baseline FY26,CUT,SEW,PO-72463,Greater China,2026-W14,NK-BK-KD16-2085,5533.429224288931,2371.469667552399,7904.8988918413315,7904.8988918413315,3952.4494459206658
PROD,FIRM,Jakarta Apparel,Baseline FY26,CUT,SEW,PO-54492,APLA,2026-W14,NK-RA-RM-9451,2902.7135241089095,1244.0200817609614,4146.733605869871,4146.733605869871,2073.3668029349355
PROD,FORECAST,Dhaka Garments,Baseline FY26,CUT,SEW,PO-48601,EMEA,2026-W14,NK-BK-L21-6642,6616.280392952169,2835.5487398366436,9451.829132788813,9451.829132788813,4725.914566394406
PROD,FIRM,Chennai Textiles,Baseline FY26,CUT,SEW,PO-95530,EMEA,2026-W14,NK-JD-SL3-4034,2730.1435441444096,1170.0615189190328,3900.2050630634426,3900.2050630634426,1950.1025315317213
PROD,FORECAST,Chennai Textiles,Baseline FY26,CUT,SEW,PO-23090,EMEA,2026-W14,NK-ZP-40-9793,869.907135114303,372.81734362041556,1242.7244787347186,1242.7244787347186,621.3622393673593
PROD,FIRM,Monterrey Logistics,Baseline FY26,CUT,SEW,PO-18267,APLA,2026-W14,NK-AP-PDF-8902,1504.88094752673,644.9489775114558,2149.829925038186,2149.829925038186,1074.914962519093
PROD,FIRM,Chennai Textiles,Baseline FY26,CUT,SEW,PO-13079,North America,2026-W14,NK-VF-3-8796,2160.8475815290385,926.0775349410166,3086.9251164700554,3086.9251164700554,1543.4625582350277
PROD,FIRM,Monterrey Logistics,Baseline FY26,CUT,SEW,PO-22919,APLA,2026-W14,NK-RT-3-3553,3244.35508572661,1390.437893882833,4634.792979609443,4634.792979609443,2317.3964898047216
PROD,FORECAST,Chennai Textiles,Baseline FY26,CUT,SEW,PO-56770,APLA,2026-W14,NK-AP-PDF-8031,4435.816377323922,1901.0641617102524,6336.880539034175,6336.880539034175,3168.4402695170875
PROD,FORECAST,Saigon Premium,Baseline FY26,CUT,SEW,PO-81697,EMEA,2026-W14,NK-IV-3-4087,6462.020288566013,2769.4372665282913,9231.457555094305,9231.457555094305,4615.728777547152
PROD,FIRM,Saigon Premium,Baseline FY26,CUT,SEW,PO-86380,Greater China,2026-W14,NK-AM-90-3974,2687.9165098725675,1151.9642185168148,3839.8807283893825,3839.8807283893825,1919.9403641946913
PROD,FIRM,Jakarta Apparel,Baseline FY26,CUT,SEW,PO-92024,North America,2026-W14,NK-BK-L21-1501,4497.625762908274,1927.5538983892604,6425.179661297535,6425.179661297535,3212.5898306487675
PROD,FIRM,Monterrey Logistics,Baseline FY26,CUT,SEW,PO-41338,North America,2026-W14,NK-RA-RW-8311,2253.208824725193,965.6609248822257,3218.869749607419,3218.869749607419,1609.4348748037096
PROD,FIRM,Jakarta Apparel,Baseline FY26,CUT,SEW,PO-44117,Greater China,2026-W14,NK-AP-YLL-4162,3991.0083461277304,1710.4321483404558,5701.440494468186,5701.440494468186,2850.720247234093
PROD,FIRM,Monterrey Logistics,Baseline FY26,CUT,SEW,PO-73592,EMEA,2026-W14,NK-ZP-40-6036,2951.1098724721105,1264.7613739166188,4215.87124638873,4215.87124638873,2107.935623194365
PROD,FORECAST,Jakarta Apparel,Baseline FY26,CUT,SEW,PO-95851,Greater China,2026-W14,NK-AP-ECT-2440,1101.4487670757958,472.04947160391254,1573.4982386797085,1573.4982386797085,786.7491193398542
PROD,FIRM,Monterrey Logistics,Baseline FY26,CUT,SEW,PO-44662,EMEA,2026-W14,NK-CV-L-6420,5809.115497027931,2489.620927297685,8298.736424325616,8298.736424325616,4149.368212162808
PROD,FORECAST,Dhaka Garments,Baseline FY26,CUT,SEW,PO-25807,Greater China,2026-W14,NK-BK-JA1-2276,4973.029184819049,2131.298222065307,7104.327406884357,7104.327406884357,3552.1637034421783
PROD,FIRM,Chennai Textiles,Baseline FY26,CUT,SEW,PO-34392,APLA,2026-W14,NK-JD-SL3-7634,6971.775153842252,2987.903637360965,9959.678791203218,9959.678791203218,4979.839395601609
PROD,FIRM,Saigon Premium,Baseline FY26,CUT,SEW,PO-46495,APLA,2026-W14,NK-RA-RW-7361,6381.930028380927,2735.1128693061114,9117.042897687039,9117.042897687039,4558.5214488435195
PROD,FORECAST,Monterrey Logistics,Baseline FY26,CUT,SEW,PO-78118,APLA,2026-W14,NK-ZP-40-4269,3458.148793419394,1482.0637686083119,4940.212562027707,4940.212562027707,2470.1062810138533
PROD,FIRM,Guangzhou Footwear,Baseline FY26,CUT,SEW,PO-53922,EMEA,2026-W14,NK-AP-ECT-1403,1507.7466174083652,646.1771217464423,2153.9237391548077,2153.9237391548077,1076.9618695774038
PROD,FORECAST,Saigon Premium,Baseline FY26,CUT,SEW,PO-77615,Greater China,2026-W14,NK-AM-90-7160,6218.030552119105,2664.870236622474,8882.90078874158,8882.90078874158,4441.45039437079
PROD,FIRM,Guangzhou Footwear,Baseline FY26,CUT,SEW,PO-93265,APLA,2026-W14,NK-AP-IC-6800,2758.473651335856,1182.2029934296527,3940.676644765509,3940.676644765509,1970.3383223827545
PROD,FIRM,Guangzhou Footwear,Baseline FY26,CUT,SEW,PO-80957,North America,2026-W14,NK-AM-270-3991,2931.0805885304544,1256.1773950844806,4187.257983614935,4187.257983614935,2093.6289918074676
PROD,FORECAST,Dhaka Garments,Baseline FY26,CUT,SEW,PO-75332,North America,2026-W14,NK-RA-RM-9417,5942.417287573505,2546.7502661029307,8489.167553676436,8489.167553676436,4244.583776838218
PROD,FORECAST,Guangzhou Footwear,Baseline FY26,CUT,SEW,PO-18158,EMEA,2026-W14,NK-AP-TJ-4311,6405.87969197813,2745.3770108477697,9151.2567028259,9151.2567028259,4575.62835141295
PROD,FORECAST,Monterrey Logistics,Baseline FY26,CUT,SEW,PO-57451,EMEA,2026-W14,NK-SB-DLP-5754,2096.1720756693862,898.3594610011655,2994.5315366705518,2994.5315366705518,1497.2657683352759
PROD,FIRM,Saigon Premium,Baseline FY26,CUT,SEW,PO-42776,North America,2026-W14,NK-AP-IC-3496,3111.229614323483,1333.38412042435,4444.613734747833,4444.613734747833,2222.3068673739167
PROD,FIRM,Saigon Premium,Baseline FY26,CUT,SEW,PO-58205,EMEA,2026-W14,NK-VF-3-5790,3711.3938005755003,1590.5973431037858,5301.991143679286,5301.991143679286,2650.995571839643
PROD,FORECAST,Jakarta Apparel,Baseline FY26,CUT,SEW,PO-98326,Greater China,2026-W14,NK-CV-L-5615,2912.383259596049,1248.1642541125923,4160.547513708641,4160.547513708641,2080.2737568543207
PROD,FORECAST,Guangzhou Footwear,Baseline FY26,CUT,SEW,PO-49881,Greater China,2026-W14,NK-AP-TJ-4512,1363.4639104110001,584.3416758904286,1947.8055863014288,1947.8055863014288,973.9027931507144
PROD,FIRM,Monterrey Logistics,Baseline FY26,CUT,SEW,PO-60017,APLA,2026-W14,NK-JD-SL3-6062,2143.3149055006,918.5635309288286,3061.878436429429,3061.878436429429,1530.9392182147144
PROD,FORECAST,Jakarta Apparel,Baseline FY26,CUT,SEW,PO-14855,APLA,2026-W14,NK-JD-SL3-6630,4514.170960748645,1934.644697463705,6448.81565821235,6448.81565821235,3224.407829106175
PROD,FORECAST,Jakarta Apparel,Baseline FY26,CUT,SEW,PO-10150,EMEA,2026-W14,NK-MT-9-6218,6095.317672856475,2612.279002652775,8707.59667550925,8707.59667550925,4353.798337754625
PROD,FORECAST,Jakarta Apparel,Baseline FY26,CUT,SEW,PO-23526,APLA,2026-W14,NK-BZ-77-5347,5895.28165608266,2526.549281178283,8421.830937260944,8421.830937260944,4210.915468630472
PROD,FIRM,Monterrey Logistics,Baseline FY26,CUT,SEW,PO-21174,APLA,2026-W14,NK-BK-JA1-4485,1332.6258513279297,571.125364854827,1903.751216182757,1903.751216182757,951.8756080913785
PROD,FIRM,Jakarta Apparel,Baseline FY26,CUT,SEW,PO-55514,EMEA,2026-W14,NK-AM-270-2311,5273.520378647154,2260.0801622773515,7533.600540924505,7533.600540924505,3766.8002704622527
PROD,FORECAST,Monterrey Logistics,Baseline FY26,CUT,SEW,PO-38713,Greater China,2026-W14,NK-JD-SL3-3682,3630.81701607188,1556.0644354593774,5186.881451531258,5186.881451531258,2593.440725765629
PROD,FORECAST,Chennai Textiles,Baseline FY26,CUT,SEW,PO-82933,North America,2026-W14,NK-AP-ECT-4820,3553.6884605737587,1523.0093402458967,5076.697800819656,5076.697800819656,2538.348900409828
PROD,FORECAST,Monterrey Logistics,Baseline FY26,CUT,SEW,PO-53379,EMEA,2026-W14,NK-RA-RM-7700,2833.2976949222,1214.270440680943,4047.568135603143,4047.568135603143,2023.7840678015716
PROD,FIRM,Monterrey Logistics,Baseline FY26,CUT,SEW,PO-19174,North America,2026-W14,NK-AP-ACG-7623,944.7053046436794,404.8737019901483,1349.5790066338277,1349.5790066338277,674.7895033169139
